Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Estaires, France",France,1927,Jan,Wednesday,Fokker,Delivery flight,Fokker F-VII,0.0,0.0,0.0,0.0,0.0,0.0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
"Rabat, Morocco",Morocco,1927,Mar,Sunday,Grands Express Aeriens,Casablanca - Oran,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,Unknown.
"Tambo, Qld, Australia",Australia,1927,Mar,Thursday,Qantas,Charleville - Tambo - Blackall,de Havilland DH-9C,3.0,3.0,0.0,0.0,3.0,3.0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
"King Hill, Idaho",USA,1927,Apr,Friday,Varney Air Lines,No Data,"SwallowSwallow",1.0,1.0,0.0,0.0,1.0,1.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
"Floh, Germany",Germany,1927,Apr,Friday,Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker FG III,2.0,2.0,0.0,0.0,2.0,2.0,Crashed following engine failure.
"Goshen, Indiana",USA,1927,Apr,Friday,US Aerial Mail Service,No Data,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed into a field during a snow storm.
"Algiers, Algeria",Algeria,1927,May,Monday,Air Union,No Data,SPCA Meteore 63,3.0,1.0,0.0,2.0,1.0,3.0,The three engine seaplane stalled and crashed into the sea shortly after taking off.
"Amoneburg, Germany",Germany,1927,Jul,Wednesday,Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,5.0,5.0,0.0,0.0,5.0,5.0,Crashed after experiencing engine failure and attempting to make a forced landing.
"Sevenoaks, England",England,1927,Aug,Monday,KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,11.0,1.0,0.0,10.0,1.0,11.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
"Willington, Connecticut",USA,1927,Sep,Saturday,Colonial Air Transport,No Data,Fokker Universal,1.0,1.0,0.0,0.0,1.0,1.0,The postal plane crashed for unknown reasons.
"Hadley, New Jersey",USA,1927,Sep,Saturday,Reynolds Airways,Sightseeing,Fokker F-VII,12.0,7.0,0.0,5.0,7.0,12.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
Atlantic Ocean,No Data,1927,Sep,Saturday,Private,Old Orchad Beach - Rome,Fokker F7,3.0,3.0,0.0,0.0,3.0,3.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
"Schleiz, Germany",Germany,1927,Sep,Friday,Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,6.0,6.0,0.0,0.0,6.0,6.0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
"Thies, Mauritania",Mauritania,1927,Oct,Thursday,Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,The plane crashed while attempting to land at Dakar.
"New Brunswick, New Jersey",USA,1927,Oct,Sunday,Colonial Air Transport,No Data,Fairchild FC-2,4.0,4.0,0.0,0.0,4.0,4.0,Went into a tailspin and crashed into a corn field about 10 km from the airport.
"Strasburg, France",France,1927,Nov,Tuesday,CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed shortly after taking off.
Over the Gulf of Finland,No Data,1927,Nov,Wednesday,Aero O-Y,Tallinn - Helsinki,Junkers F-13,6.0,6.0,0.0,0.0,6.0,6.0,Crashed in the gulf of Finland and never found.
"Corunna, Indiana",USA,1927,Nov,Tuesday,National Air Transport,No Data,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,The postal plane crashed at night in poor weather.
"Almeria, Spain",Spain,1927,Dec,Wednesday,Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,A fire erupted aboard the mail plane while en route and crashed.
"Near Marseille,France",France,1927,Dec,Saturday,Latecoere Airlines,Test flight,Latécoère 23 (flying boat),5.0,5.0,0.0,0.0,5.0,5.0,"Suffered structural failure at an altitude of 1,000 ft."
"Near Canajoharie, New York",USA,1928,Jan,Sunday,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3.0,3.0,0.0,0.0,3.0,3.0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
"Solis, Uruguay",Uruguay,1928,Jan,Monday,Aeropostale,Buenos Aires - Montevideo,Latecoere 25,2.0,2.0,0.0,0.0,2.0,2.0,The wing on the mail plane detached from the aircraft and crashed into the sea.
"L'Hospitalet, Ariège",No Data,1928,Jan,Sunday,Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,Crashed after experiencing mechanical difficulties.
"Tarragona, Spain",Spain,1928,Jan,Sunday,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,Crashed in unknown circumstances.
"Almeria, Spain",Spain,1928,Jan,Friday,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
"Marquette, Nebraska",USA,1928,Feb,Sunday,Boeing Air Transport,No Data,Boeing 40,2.0,1.0,0.0,1.0,1.0,2.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
"Off Cape Griz Nez, France",France,1928,Mar,Sunday,Air Union,Paris - Croydon,Farman F-60 Goliath,2.0,2.0,0.0,0.0,2.0,2.0,Crashed into the sea while delivering mail in poor weather.
"Federal, Wyoming",USA,1928,Apr,Tuesday,Boeing Air Transport,No Data,Boeing 40,2.0,1.0,0.0,1.0,1.0,2.0,Spatial disorientation after entering a snowstorm.
"Minuesa, Spain",Spain,1928,Apr,Thursday,Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,9.0,9.0,0.0,0.0,9.0,9.0,Crashed into a field after getting lost in fog.
"Florianopolis, BrazilFlorianopolis, BrazilFlorianopolis, Brazil",No Data,1928,May,Monday,Aeropostale,No Data,Latecoere 26,5.0,1.0,0.0,4.0,1.0,5.0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
"Dearborn, Minnesota",USA,1928,May,Saturday,Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,2.0,2.0,0.0,0.0,2.0,2.0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
"Radevormwald, Germany",Germany,1928,May,Saturday,Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,5.0,3.0,0.0,2.0,3.0,5.0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
"Frankfurt, Germany",Germany,1928,Jun,Thursday,Deutsche Lufthansa,No Data,AEGK,5.0,5.0,0.0,0.0,5.0,5.0,"The ""Viper"" crashed for unknown reasons."
"Lebo, Kansas",USA,1928,Jun,Friday,National Air Transport,Chicago - Dallas,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane flew into tornado like winds and crashed in a field.
Over the Gulf of Finland,No Data,1928,Jul,Tuesday,Aero O-Y,Tallinn - Helsinki,Junkers F-13,6.0,6.0,0.0,0.0,6.0,6.0,Crashed under unknown circumstances
"Purley, England",England,1928,Jul,Friday,Imperial Airways,Testing,Vickers 74 Vulcan,6.0,4.0,0.0,2.0,4.0,6.0,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers."
"Waalhaven, Netherlands",Netherlands,1928,Jul,Tuesday,KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,6.0,1.0,0.0,5.0,1.0,6.0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
"Near Port Townsend, BC, Canada",USA,1928,Aug,Saturday,British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7.0,7.0,0.0,0.0,7.0,7.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
"Toul, France",France,1928,Sep,Sunday,CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,5.0,5.0,0.0,0.0,5.0,5.0,"After taking off the engine failed, the plane stalled and crashed."
"Adelaide Hills, Australia",Australia,1928,Sep,Tuesday,Qantas,Adelaide - Longreach,de Havilland DH.50J,2.0,1.0,0.0,1.0,1.0,2.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
"Pocatello, Idaho",USA,1928,Sep,Tuesday,National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,7.0,7.0,0.0,0.0,7.0,7.0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times."
"Heroldbach, Germany",Germany,1928,Sep,Thursday,Deutsche Lufthansa,No Data,Fokker FG III,3.0,3.0,0.0,0.0,3.0,3.0,Crashed due to engine failure.
"Gerona, Spain",Spain,1928,Oct,Thursday,Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,3.0,3.0,0.0,0.0,3.0,3.0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,"
"Polk, Pennsylvania",USA,1928,Oct,Thursday,National Air Transport,No Data,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed into a hill and burned during the night during poor weather conditons.
"Valence, France",France,1928,Oct,Wednesday,Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,2.0,1.0,0.0,1.0,1.0,2.0,The pilot attempted an emergency landing in a muddy field and crashed.
Off Gibraltar,No Data,1928,Nov,Thursday,Aeropostale,Marseille - Palma de Majorca,Latecoere 32,3.0,1.0,0.0,2.0,1.0,3.0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.
"Edgerton, Ohio",USA,1928,Nov,Saturday,Universal Airlines,Cleveland - Chicago,Hamilton H-47,3.0,3.0,0.0,0.0,3.0,3.0,The mail plane crashed in a heavy snow storm.
"Edgerton, Ohio",USA,1928,Nov,Sunday,Continental Air Lines,Cleveland - Louisville,Travel Air 4000,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed in a heavy snow storm
"Bristolville, Ohio",USA,1928,Nov,Sunday,National Air Transport,No Data,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed in a snow storm.
"Spur, Texas",USA,1928,Dec,Saturday,Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5.0,5.0,0.0,0.0,5.0,5.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.
"Near Rio de Janeiro,Brazil",Brazil,1928,Dec,Monday,Syndicato Condor,Sightseeing,Dornier Wal,14.0,14.0,0.0,0.0,14.0,14.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
"Spokan, Washington",USA,1928,Dec,Monday,Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,5.0,5.0,0.0,0.0,5.0,5.0,The aircraft crashed while attempting to land in fog.
"Letzlingen, Germany",Germany,1928,Dec,Tuesday,Deutsche Lufthansa,Cologne -  Berlin,Junkers G-31,4.0,3.0,0.0,1.0,3.0,4.0,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames."
"Huron, Ohio",USA,1928,Dec,Thursday,National Air Transport,Cleveland - Chicago,Douglas M-4,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.
"Chattanooga, Tennessee",USA,1928,Dec,Sunday,Interstate Airlines,No Data,Fairchild FC-2,4.0,4.0,0.0,0.0,4.0,4.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up properly.
"Reims, France",France,1928,Dec,Monday,CIDNA,Strasbourg - Paris,Blériot Spad 66,3.0,2.0,0.0,1.0,2.0,3.0,Crashed into high ground in fog.
"Stafford Springs, Connecticut",USA,1929,Jan,Saturday,Colonial Air Transport,No Data,Fairchild FC-2,1.0,1.0,0.0,0.0,1.0,1.0,Struck a mountain slope  in poor weather.
"Cove, Oregon",USA,1929,Jan,Friday,Varney Air Lines,"Boise, ID - Pasco, WA",Stearman C-38,1.0,1.0,0.0,0.0,1.0,1.0,While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.
"Near Corfu, Greece",Greece,1929,Jan,Friday,Aeroespresso,Brindisi - Athens - Istanbul,CMASA Wal,9.0,2.0,0.0,7.0,2.0,9.0,The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.
Off Morocco,No Data,1929,Jan,Thursday,Aeropostale,Agadir - Casablanca,Latecoere 26,2.0,2.0,0.0,0.0,2.0,2.0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons."
"Morgantown, West Virginia",USA,1929,Jan,Thursday,Skyline Transportation Company,No Data,Travel Air 4000,1.0,1.0,0.0,0.0,1.0,1.0,"While attempting to land, the aircraft overran the runway and hit the perimeter fence."
"Newark, New Jersey",USA,1929,Mar,Sunday,Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15.0,14.0,0.0,1.0,14.0,15.0,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.
"Near Beaumont, California",USA,1929,Mar,Saturday,New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4.0,4.0,0.0,0.0,4.0,4.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
"San Diego, California",USA,1929,Apr,Sunday,Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6.0,6.0,0.0,0.0,6.0,6.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
"Tampico, Mexico",Mexico,1929,May,Thursday,Mexicana,"Tampico - Brownsville, TX",Ford Tri-motor 4,5.0,5.0,0.0,0.0,5.0,5.0,"An engine failed, the plane stalled and crashed."
"Tököl,  Pest Hungary",No Data,1929,May,Saturday,MALERT,No Data,Fokker F-III,2.0,2.0,0.0,0.0,2.0,2.0,A wing separated in flight and the plane crashed.
Algiers,No Data,1929,May,Wednesday,Aeropostale,Algiers - Marseille,Cams 53,6.0,4.0,0.0,2.0,4.0,6.0,The plane collided with a submerged object while taking off.
"Santiago de Cuba, Cuba",Cuba,1929,Jun,Thursday,Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,5.0,2.0,0.0,3.0,2.0,5.0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus""."
"Barcelona, Spain",Spain,1929,Jun,Friday,Aeropostale,Janeiro - Buenos Aires,Breguet 14,2.0,1.0,0.0,1.0,1.0,2.0,"Took off, lost power and altitude and crashed into a telegraph tower."
"Off Dungeness, England",England,1929,Jun,Monday,Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,13.0,7.0,0.0,6.0,7.0,13.0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa."""
"St. Paul, Minnesota",USA,1929,Jun,Monday,Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8.0,1.0,0.0,7.0,1.0,8.0,All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.
